Namespace Id (1),Name,Description,Directory Namespace Id (2),XML Schema Namespace,Namespace Prefix (3),Logical Identifier   Prefix,Schema File Name Prefix (4),Governance Level,Registration   Authority,Steward Node Name,Steward Id,Steward Lead (6),Steward (Contact),Contact Email Address,Oversight  (5),Registration Date,Name of Provider,Dictionary Exists,Registered in PDS,Registration Date in PSA
bc_mpo_bel,BepiColombo,Namespace for the BepiColombo BELA schema.,,http://psa.esa.int/psa/bc/mpo/bel/v1,bela,urn:esa:psa,PDS4_PSA_BC_MPO_BEL,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,Yes,No,
bc_mpo_ber,BepiColombo,Namespace for the BepiColombo BERM schema.,,http://psa.esa.int/psa/bc/mpo/ber/v1,berm,urn:esa:psa,PDS4_PSA_BC_MPO_BER,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_isa,BepiColombo,Namespace for the BepiColombo ISA schema.,,http://psa.esa.int/psa/bc/mpo/isa/v1,isa,urn:esa:psa,PDS4_PSA_BC_MPO_ISA,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_mag,BepiColombo,Namespace for the BepiColombo MPO-MAG schema.,,http://psa.esa.int/psa/bc/mpo/mag/v1,mag,urn:esa:psa,PDS4_PSA_BC_MPO_MAG,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_mer,BepiColombo,Namespace for the BepiColombo MERTIS schema.,,http://psa.esa.int/psa/bc/mpo/mer/v1,mertis,urn:esa:psa,PDS4_PSA_BC_MPO_MER,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_mgn,BepiColombo,Namespace for the BepiColombo MGNS schema.,,http://psa.esa.int/psa/bc/mpo/mgn/v1,mgns,urn:esa:psa,PDS4_PSA_BC_MPO_MGN,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_mix,BepiColombo,Namespace for the BepiColombo MIXS schema.,,http://psa.esa.int/psa/bc/mpo/mix/v1,mixs,urn:esa:psa,PDS4_PSA_BC_MPO_MIX,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_mre,BepiColombo,Namespace for the BepiColombo MORE schema.,,http://psa.esa.int/psa/bc/mpo/mre/v1,more,urn:esa:psa,PDS4_PSA_BC_MPO_MRE,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_phe,BepiColombo,Namespace for the BepiColombo PHEBUS schema.,,http://psa.esa.int/psa/bc/mpo/phe/v1,phebus,urn:esa:psa,PDS4_PSA_BC_MPO_PHE,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_srn,BepiColombo,Namespace for the BepiColombo SERENA schema.,,http://psa.esa.int/psa/bc/mpo/srn/v1,serena,urn:esa:psa,PDS4_PSA_BC_MPO_SRN,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_sim,BepiColombo,Namespace for the BepiColombo SIMBIO-SYS  schema.,,http://psa.esa.int/psa/bc/mpo/sim/v1,simbiosys,urn:esa:psa,PDS4_PSA_BC_MPO_SIM,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
bc_mpo_six,BepiColombo,Namespace for the BepiColombo SIXS  schema.,,http://psa.esa.int/psa/bc/mpo/six/v1,sixs,urn:esa:psa,PDS4_PSA_BC_MPO_SIX,Mission,0001_ESA_PSA_1,,,,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
chan1,Chandrayaan-1,Chandrayaan-1 mission dictionary,mission/chan1,http://pds.nasa.gov/pds4/mission/chan1/v1,chan1,urn:nasa:pds:, PDS4_CHAN1,Mission,0001_NASA_PDS_1,chan1,chan1,PDS GEO and PDS IMG,Susan Slavney,slavney at wunder.wustl.edu, ,2020-10-07,S. Slavney,Yes,Yes,
,,,,,,,,,,,,,, , ,2019-11-19,,,,
em16,ExoMars16,Namespace for the ExoMars16 schema.,em16,http://psa.esa.int/psa/em16/v1,em16,urn:esa:psa,PDS4_PSA_EM16,Mission,0001_ESA_PSA_1,em16,em16,em16,ExoMars16 Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,Yes,No,
em16_tgo_acs,ExoMars16,Namespace for the ExoMars16 ACS Instrument schema.,,http://psa.esa.int/psa/em16/tgo/acs/v1,acs,urn:esa:psa,PDS4_PSA_EM16_TGO_ACS,Mission,0001_ESA_PSA_1,em16,em16,em16,ExoMars16 Science Operations Centre,dcoia at sciops.esa.int, ,2019-11-19,D. Coia,Yes,No,
em16_tgo_cas,ExoMars16,Namespace for the ExoMars16 CaSSIS Instrument schema.,,http://psa.esa.int/psa/em16/tgo/cas/v1,cas,urn:esa:psa,PDS4_PSA_EM16_TGO_CAS,Mission,0001_ESA_PSA_1,em16,em16,em16,ExoMars16 Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,Yes,No,
em16_tgo_nmd,ExoMars16,Namespace for the ExoMars16 NOMAD Instrument schema.,,http://psa.esa.int/psa/em16/tgo/nmd/v1,nmd,urn:esa:psa,PDS4_PSA_EM16_TGO_NMD,Mission,0001_ESA_PSA_1,em16,em16,em16,ExoMars16 Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,Yes,No,
em16_tgo_frd,ExoMars16,Namespace for the ExoMars16 FREND Instrument schema.,,http://psa.esa.int/psa/em16/tgo/frd/v1,frd,urn:esa:psa,PDS4_PSA_EM16_TGO_FRD,Mission,0001_ESA_PSA_1,em16,em16,em16,ExoMars16 Science Operations Centre,dcoia at sciops.esa.int, ,2019-11-19,D. Coia,Yes,No,
,,,,,,,,,,,,,,tlim at sciops.esa.int, ,2019-11-19,,,,
emrsp,ExoMarsRSP ,Namespace for the ExoMarsRSP mission schema.,emrsp,http://psa.esa.int/psa/emrsp/v1,emrsp,urn:esa:psa,PDS4_PSA_EMRSP,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm,ExoMarsRSP ,Namespace for the ExoMarsRSP Rover Host schema.,,https://psa.esa.int/psa/emrsp/rm/v1,rm,urn:esa:psa,PDS4_PSA_EMRSP_RM,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,Yes,No,
emrsp_rm_nav,ExoMarsRSP ,Namespace for the ExoMarsRSP NavCam Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/nav/v1,nav,urn:esa:psa,PDS4_PSA_EMRSP_RM_NAV,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_loc,ExoMarsRSP ,Namespace for the ExoMarsRSP LocCam Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/loc/v1,loc,urn:esa:psa,PDS4_PSA_EMRSP_RM_LOC,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_pan,ExoMarsRSP ,Namespace for the ExoMarsRSP PanCam Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/pan/v1,pan,urn:esa:psa,PDS4_PSA_EMRSP_RM_PAN,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_ise,ExoMarsRSP ,Namespace for the ExoMarsRSP ISEM Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/ise/v1,ise,urn:esa:psa,PDS4_PSA_EMRSP_RM_ISE,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_clu,ExoMarsRSP ,Namespace for the ExoMarsRSP CLUPI Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/clu/v1,clu,urn:esa:psa,PDS4_PSA_EMRSP_RM_CLU,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
